Session ID,User ID,Market,Sign-up,Experiment ID,Variant ID
7BIO49O640BIASIBALZJ,004YOVNZC1NW68QLXU,Norway,false,Experiment032,Control
WLD3L4N54AUGPRUHUJG9,007TH913EDSVIDR248,Finland,false,Experiment037,Variant 1
3ALVA866B3LL9RNDNLCY,00B1YBLAAG6DEIFCOH,Denmark,false,,
H638ZR9TECATB7QRTP1O,00L73RO9N9YQW4TLFG,Denmark,true,Experiment037,Variant 1
WNKHTTGTYZVBPJO2KT07,00QYV1X2MN5MBBKTZ9,Norway,false,Experiment037,Control
KLHKJ2O7AF207MRNU549,00RDZ0X9037G65ARSC,Sweden,false,Experiment037,Variant 2
JYBY694NAPC8FYM7HU7D,00U5F18PAZLFL54IZM,Sweden,false,Experiment037,Variant 1
X9EO00FDBDUO888MMY56,00V1ZT63REHRX5LOC8,Norway,true,Experiment037,Variant 2
CA10G00GLY79NUJG2M5G,00VRKG3QBA3K69CEJQ,Norway,false,Experiment037,Variant 1
CHIRLT84GOA0I4ECW13I,00X9DQBSH6ADZSURQ2,Sweden,false,Experiment037,Variant 1
PEPQ5YUZN2VDE5B68KCX,00ZO08L235W0OMZL32,Denmark,false,Experiment037,Control
WBO5DXWA245HXN293XVL,01905BOIGTN9X6UXTD,Finland,false,Experiment037,Control
C3EKWBETS46WA8C5HVTJ,0196H3QIZ3IBCP0JFT,Finland,false,Experiment037,Variant 2
VN3FEDL93BETXLN6JU6P,01AUMWXM46PWYYRJYA,Denmark,false,Experiment037,Variant 2
IKFU66SX1K4U4K0SWEV7,01C3Z7TH05H18KYI6N,Denmark,false,Experiment037,Control
OQNMNRO97YXX3FG1C8B1,01GSDYUVNBR1DABVW9,Sweden,true,Experiment037,Control
I75MF1ZCJ2RFO4ZH8KZZ,01H8J2W1E4P3S3XG84,Sweden,false,,
R8DZPFUPZJ7RSHS6HZVO,01HVVTGZBG04EA3RQR,Finland,false,Experiment037,Control
5SC1FQES8VXJB1QFEG5D,01JSICIRAK0SMP3HYG,Denmark,true,Experiment032,Variant 2
IUZI26ZRS4DPYY64FYJN,01L164V5CI7ETOP8N5,Sweden,false,Experiment037,Variant 1
OJJAMENV1AT9LXU15DD0,01M63PIPZ0B1E3NDFO,Sweden,false,Experiment037,Variant 2
WKKS56Q4DUMGLI2I2NTJ,01PJC872YA8IQ5M5GP,Sweden,false,Experiment037,Variant 1
ZAG3UYF59199OYDUBY76,01Q9OD34BSKBQV0FEA,Finland,true,Experiment037,Variant 1
1O61H3AGNUFQNGOHJ2SB,01QJR57VTVHKYDGS6P,Norway,false,Experiment037,Variant 2
SLUO3AQ3U1TSXKZQZOMQ,01SD6MYVF0X2JL56IT,Finland,false,Experiment037,Variant 1
OEM4LRT6NUW6FLCIPRXB,01VZBJIIDAM0UBSMD1,Sweden,false,Experiment037,Control
BWB4LUXJ9VSSLP9K3071,01WY86FIVO2NPG5X3V,Denmark,true,Experiment032,Control
8D2J2AHQS6O4UCB8PUL1,01Y76UMNIUH02S5CKP,Sweden,false,Experiment037,Control
F1PE429GV6DLEYVGPXXO,01YCERRC5Y7FXG9L0B,Sweden,false,Experiment037,Control
AOMPW8YGPEE3F30ZDI8S,0219ISDS8B04G3FRMI,Norway,false,Experiment037,Control
M5BSPED9UD8SQ14AFNLF,023V6VE0BS1SYH9N76,Denmark,true,,
P2D82ECU5TJTZC0YXOC9,027YK97WXSYSFYU429,Sweden,true,Experiment037,Variant 1
AVBTVPHJGDOJL7Z4M7LK,028EKPFCLDCIVJLU2V,Denmark,false,Experiment037,Control
8X8X3ZZRTI1W77UHD5GS,02AL4073BIGTXM8XL5,Norway,false,Experiment037,Variant 2
SPK15SGXWGOWOHI0VVTU,02AZZDZK40WWBL3KKM,Denmark,false,Experiment037,Control
CF59HA8RSEDH44B992AX,02C12JM2GNC4S3GRAH,Finland,false,,
